Access-Control,prov/access-control,http,deprecated,[W3C Web Application Formats Working Group]
Access-Control-Allow-Credentials,prov/access-control-allow-credentials,http,,[W3C Web Application Formats Working Group]
Access-Control-Allow-Headers,prov/access-control-allow-headers,http,,[W3C Web Application Formats Working Group]
Access-Control-Allow-Methods,prov/access-control-allow-methods,http,,[W3C Web Application Formats Working Group]
Access-Control-Allow-Origin,prov/access-control-allow-origin,http,,[W3C Web Application Formats Working Group]
Access-Control-Max-Age,prov/access-control-max-age,http,,[W3C Web Application Formats Working Group]
Access-Control-Request-Method,prov/access-control-request-method,http,,[W3C Web Application Formats Working Group]
Access-Control-Request-Headers,prov/access-control-request-headers,http,,[W3C Web Application Formats Working Group]
Apparently-To,prov/apparently-to,mail,,[RFC2076]
ARC-Authentication-Results,prov/arc-authentication-results,mail,,[draft-ietf-dmarc-arc-protocol]
ARC-Message-Signature,prov/arc-message-signature,mail,,[draft-ietf-dmarc-arc-protocol]
ARC-Seal,prov/arc-seal,mail,,[draft-ietf-dmarc-arc-protocol]
Compliance,,http,,[RFC4229]
Content-Transfer-Encoding,,http,,[RFC4229]
Cost,,http,,[RFC4229]
EDIINT-Features,,http,,[RFC6017]
EDIINT-Features,,mail,,[RFC6017]
Eesst-Version,,mail,,[RFC7681]
Errors-To,prov/errors-to,mail,,[RFC2076]
Form-Sub,,mail,,[draft-levine-mailbomb-header]
Jabber-ID,prov/jabber-id,mail,,[RFC7259]
Jabber-ID,prov/jabber-id,netnews,,[RFC7259]
Message-ID,,http,,[RFC4229]
Method-Check,prov/method-check,http,deprecated,[W3C Web Application Formats Working Group]
Method-Check-Expires,prov/method-check-expires,http,deprecated,[W3C Web Application Formats Working Group]
MMHS-Authorizing-Users,,mail,,[RFC7912]
Non-Compliance,,http,,[RFC4229]
Optional,,http,,[RFC4229]
Privicon,,mail,,[draft-koenig-privicons]
Referer-Root,prov/referer-root,http,deprecated,[W3C Web Application Formats Working Group]
Resolution-Hint,,http,,[RFC4229]
Resolver-Location,,http,,[RFC4229]
SIO-Label,,mail,,[RFC7444]
SIO-Label-History,,mail,,[RFC7444]
SubOK,,http,,[RFC4229]
Subst,,http,,[RFC4229]
Title,,http,,[RFC4229]
UA-Color,,http,,[RFC4229]
UA-Media,,http,,[RFC4229]
UA-Pixels,,http,,[RFC4229]
UA-Resolution,,http,,[RFC4229]
UA-Windowpixels,,http,,[RFC4229]
Version,,http,,[RFC4229]
X-Archived-At,prov/x-archived-at,mail,deprecated,[RFC5064]
X-Archived-At,prov/x-archived-at,netnews,deprecated,[RFC5064]
X-Device-Accept,prov/x-device-accept,http,,[W3C Mobile Web Best Practices Working Group]
X-Device-Accept-Charset,prov/x-device-accept-charset,http,,[W3C Mobile Web Best Practices Working Group]
X-Device-Accept-Encoding,prov/x-device-accept-encoding,http,,[W3C Mobile Web Best Practices Working Group]
X-Device-Accept-Language,prov/x-device-accept-language,http,,[W3C Mobile Web Best Practices Working Group]
X-Device-User-Agent,prov/x-device-user-agent,http,,[W3C Mobile Web Best Practices Working Group]
X-Mittente,,mail,,[RFC6109]
X-PGP-Sig,prov/x-pgp-sig,netnews,,[ftp://ftp.isc.org/pub/pgpcontrol/FORMAT][https://ftp.isc.org/pub/pgpcontrol/FORMAT]
X-Ricevuta,,mail,,[RFC6109]
X-Riferimento-Message-ID,,mail,,[RFC6109]
X-TipoRicevuta,,mail,,[RFC6109]
X-Trasporto,,mail,,[RFC6109]
X-VerificaSicurezza,,mail,,[RFC6109]
