,SIMPLE COMPARISON,,,,,,,,,,PRIVACY,,,,,,,,,,,,,,,TECHNICAL,,,,,,,,,,,,,,,,,,,,,,,WEBSITE,,,,,PRICING,,,,ETHICS,,,,,,,
,      (RAW DATA TO THE RIGHT) --->,,,,,,,,,,JURISDICTION,,,LOGGING,,,,,ACTIVISM,,,,,,,SERVICE CONFIGURATION,,,,,,,,,,,,,,SECURITY,,,,,AVAILABILITY,,,,COOKIES,,CONFIGURATION,,,,,,,BUSINESS PRACTICES,,,,,,AFFILIATES,
Sheet last updated 8/13/2018,PRIVACY,,,TECHNICAL,,,BUSINESS,,,,,,,ACTIVITY,,CONNECTION,,,,,,,,,,LEAK PROTECTION,,,OBFUSCATION / CENSORSHIP AVOIDANCE,,,,,,,NETWORK NEUTRALITY,,AVERAGE SPEEDS,,SERVER,DATA ENCRYPTION,,HANDSHAKE ENCRYPTION,,,,,,,,,,,,,,,GOOD FAITH,,,AFFILIATE / RESELLER POLICY,,,,
VPN SERVICE,Jurisdiction,Logging,Activism,Service Config,Security,Availability,Website,Pricing,Ethics,,Based in (Country),"""Fourteen Eyes"" Country",Enemy of the Internet,Traffic,DNS Requests,Timestamps,Bandwidth,IP Address,Anonymous Payment Method,Accepts Cash,Accepts Gift Cards,Accepts Crypto Currency,PGP Key Available,Gives back to Privacy Causes,Meets PrivacyToolsIO Criteria,1st Party DNS Servers,IPv6 Supported / Blocked,Offers OpenVPN,Supports Multihop,Supports TCP Port 443,Supports Obfsproxy,Supports SOCKS,Supports SSL Tunnel,Supports SSH Tunnel,Other Proprietary Protocols,Blocks SMTP (Authent.),Blocks P2P,US Server DL Speeds (%),International Server DL Speeds (%),Dedicated or Virtual,Default Provided,Strongest Provided,Weakest Provided,Strongest Provided,# of Simultaneous Connections,# of Countries,# of Servers,Linux Support (Manual),# of Persistent Cookies,# of External Trackers,# of Proprietary API's,Server SSL Rating,SSL Certificate issued to,$ / Month - (Annual Pricing),$ / Connection / Month,Free Trial Available,Refund Window (Days),Contradictory Logging Policies,Falsely Claims Service is 100% Effective,Incentivizes social media spam,Forbids spam,Requires ethical copy,Requires full disclosure,Practice ethical copy,Give full disclosure
BTGuard,3,1.5,1,1,1.5,4,5,8,3,,Canada,Five,No,No,,,,No,Email,No,No,Yes,No,No,No,Yes,No,Yes,,,,Yes,,,,,No,,,,,AES-256,,,1,3,5,,0,0,0,F,Self,$7.50,$7.50,No,0,,,,No,Yes,No,,No
Buffered,1,3.5,2,2,1.5,2,6,4,3.5,,Hungary,Cooperative,No,No,,Yes,Yes,Yes,Email,No,No,No,No,No,No,No,No,Yes,,,,,,,,,No,,,,,Blowfish-256,,,5,26,,,5,2,16,A,Self,$9.99,$2.00,No,30,,Yes,,Some,Yes,No,,No
CactusVPN,5,0,4,2.5,0,1,4,2,5,,Canada,Five,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,,,,,,,,No,Some,95.23,13.76,,AES-128,AES-256,RSA-2048,RSA-4096,3,4,16,Yes,2,1,6,A+,Self,$4.59,$1.53,Yes,30,,,,No,No,No,No,No
Celo,3,3,4,1,1.5,0,5,3,1,,Australia,Five,No,No,,Yes,,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,,,,Yes,,Yes,,,No,,,,,AES-256,,,5,13,14,,2,2,6,B,Self,$5.50,$1.10,Yes,10,Yes,,,,,,,
ChillGlobal,1,2.5,5,1,2.5,4,13,5,1,,Germany,Fourteen,No,No,,Yes,,,No,No,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,1,15,,,1,1,12,T,No SSL Cert,$5.70,$5.70,Yes,7,,Yes,,,,,,
CitizenVPN,1,1.5,1,2,1.5,4,7,4,0,,Denmark,Nine,No,,,,,No,Email,No,No,Yes,No,No,No,No,No,Yes,,Yes,,,,,,,No,,,,AES-128,AES-256,,,1,12,,,3,0,4,C,Self,$8.24,$8.24,Yes,180,,,,,,,,
CloakVPN,5,0,1,2,2.5,5,8,7,0,,USA,Five,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,,,,,,,,,,,,,,,,,1,1,1,Yes,2,1,2,C,Self,$5.00,$5.00,No,0,,,,,,,,
CrypticVPN,5,0.5,1,2,2.5,2,3,5,1,,USA,Five,Yes,No,,No,No,No,Email,No,No,Yes,No,No,No,No,No,Yes,,Yes,,,,,,,,83.96,8.88,,,,,,1,15,18,Yes,0,0,2,A,CloudFlare,$2.09,$2.09,No,0,,Yes,,,,,,
CryptoHippie,5,2,0,1.5,0,3,1,5,0,,USA,Five,Yes,See Note,No,,Yes,,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,,,,,,,Some,,,,,,AES-256,RSA-2048,RSA-2048,1,,12,,0,0,1,A+,Self,$22.92,$22.92,No,30,,,,,,,,
CryptoStorm,1,1.5,0,0,1.5,2,4,4,0,,Iceland,Cooperative,No,No,,,,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,No,No,,,,,AES-256,,,4,10,,,2,3,2,A,Self,$3.92,$0.98,No,0,,,,,,,,
CyberGhost,0,1,1,2.5,1.5,0,10,2,5,,Romania,No,No,No,,No,,No,Email,No,No,Yes,No,No,Yes,Yes,No,Yes,,,,,,,,Yes,Some,,,,,AES-256,,,7,30,607,,5,0,4,C,CloudFlare,$5.84,$0.83,No,30,,Yes,,No,No,No,,No
DathoVPN,0,2,5,2,2.5,2,11,6,0,,Panama,No,No,No,,,,,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,No,,,,,,,,1,17,70,,1,1,4,C,No SSL Cert,$6.00,$6.00,Yes,3,,,,,,,,
DefenceVPN,2,2,5,2.5,2.5,5,3,1,3,,Barbados,See Note,Owned,No,,,,,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,Some,,,,,,,,2,7,,,1,1,0,B,Self,$2.50,$1.25,Yes,30,,,,No,No,No,,
Disconnect.me,5,1.5,1,5,0,3,2,3,0,,USA,Five,Yes,,,,,No,Yes,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,,,,,,AES-256,AES-256,RSA-2048,RSA-2048,3,,,No,1,0,2,A,Self,$4.17,$1.39,No,30,,,,,,,,
DooVPN,3,2,5,5,2.5,5,4,6,0,,,Not Disclosed,Not Disclosed,,,,,,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,1,2,,,1,0,3,A,CloudFlare,$4.00,$4.00,No,1,,,,,,,,
DotVPN,0,2.5,2,4,2.5,1,3,0,2,,Hong Kong,No,No,,,,,Yes,Email,No,No,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,,See Note,See Note,3,,700,,2,2,1,A+,Self,$3.00,$1.00,Yes,30,Yes,,Yes,,,,,
