Prefixes transited per AS (Global)
----------------------------------

  ASN   No of nets  Description
 3356    35311      LEVEL3 - Level 3 Communications, Inc., 
 3257    20955      GTT-BACKBONE GTT, DE
 2914    18813      NTT-COMMUNICATIONS-2914 - NTT America, 
 6453    16160      AS6453 - TATA COMMUNICATIONS (AMERICA) 
 6939    16134      HURRICANE - Hurricane Electric, Inc., U
 2516    15466      KDDI KDDI CORPORATION, JP
 2497    15229      IIJ Internet Initiative Japan Inc., JP
 7018    12636      ATT-INTERNET4 - AT&T Services, Inc., US
 3549    11300      LVLT-3549 - Level 3 Communications, Inc
  209     9990      CENTURYLINK-US-LEGACY-QWEST - Qwest Com
 4635     9977      HKIX-RS1 Hong Kong Internet Exchange--R
 9498     9378      BBIL-AP BHARTI Airtel Ltd., IN
 4755     9373      TATACOMM-AS TATA Communications formerl
  174     9047      COGENT-174 - Cogent Communications, US
 1299     7903      TELIANET , SE
 4837     7775      CHINA169-BACKBONE CNCGROUP China169 Bac
 6461     7706      ZAYO-6461 - Zayo Bandwidth Inc, US
 3491     6140      BTN-ASN - Beyond The Network America, I
 4134     5921      CHINANET-BACKBONE No.31,Jin-rong Street
  701     5916      UUNET - MCI Communications Services, In
 2828     4630      XO-AS15 - XO Communications, US
12956     4428      TELEFONICA Telefonica Wholesale Network
 6762     4349      SEABONE-NET TELECOM ITALIA SPARKLE S.p.
12389     4340      ROSTELECOM-AS , RU
 4637     3927      ASN-TELSTRA-GLOBAL Telstra Global, HK
 4766     3845      KIXS-AS-KR Korea Telecom, KR
 9002     3745      RETN-AS , UA
 7713     3682      TELKOMNET-AS-AP PT Telekomunikasi Indon
14080     3653      Telmex Colombia S.A., CO
 9808     3573      CMNET-GD Guangdong Mobile Communication
25019     3366      SAUDINETSTC-AS , SA
 1273     3213      CW Vodafone Group PLC, GB
27064     3169      DNIC-ASBLK-27032-27159 - DoD Network In
 9121     3054      TTNET , TR
 1239     2975      SPRINTLINK - Sprint, US
 9318     2937      HANARO-AS Hanaro Telecom Inc., KR
 3216     2609      SOVAM-AS , RU
23520     2475      COLUMBUS-NETWORKS - Columbus Networks U
 3786     2465      LGDACOM LG DACOM Corporation, KR
 3320     2427      DTAG Internet service provider operatio
20485     2422      TRANSTELECOM Moscow, Russia, RU
 4826     2343      VOCUS-BACKBONE-AS Vocus Connect Interna
 5511     2202      OPENTRANSIT , FR
 7843     2169      TWCABLE-BACKBONE - Time Warner Cable In
58453     2153      CMI-INT-HK Unit 09-18, Level 12, Tower 
18101     2147      RELIANCE-COMMUNICATIONS-IN Reliance Com
12880     2063      DCI-AS , IR
 4651     1999      THAI-GATEWAY The Communications Authori
 6830     1918      LGI-UPC formerly known as UPC Broadband
15412     1907      FLAG-AS Flag Telecom Global Internet AS
31133     1874      MF-MGSM-AS PJSC MegaFon, RU
10026     1833      PACNET Pacnet Global Ltd, HK
 4230     1796      CLARO S.A., BR
16735     1717      ALGAR TELECOM S/A, BR
 8928     1553      INTEROUTE 25 Canada Square, Canary Whar
55410     1498      VODAFONE-NET-AS-AP C48 Okhla Industrial
17557     1459      PKTELECOM-AS-PK Pakistan Telecommunicat
39386     1396      STC-IGW-AS , SA
 7473     1378      SINGTEL-AS-AP Singapore Telecommunicati
38861     1373      STARHUB-INTERNET-EXCHANGE-AS-AP StarHub
20965     1337      GEANT The GEANT IP Service, GB
